instance,profile,method,rule,objective,capital_cost,running_cost,hub_cost,uav_inv_cost,ugv_inv_cost,uav_trav_cost,ugv_trav_cost,num_active_hubs,num_uav_routes,num_ugv_routes,served,unserved,valid,runtime_sec,profile_policy,validation_message
instance_20260106,commercial,priority_edd,edd,3714.858850723293,950.0,2764.858850723293,50.0,720.0,180.0,892.9408718715617,1871.9179788517313,1,4,2,54,0,True,0.01957730000000013,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260106,commercial,priority_min_slack,min_slack,3719.853635070377,1130.0,2589.853635070377,50.0,900.0,180.0,862.1498073242665,1727.7038277461106,1,5,2,54,0,True,0.013162200000000013,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260106,emergency,priority_nearest,nearest,2812.970568945243,0.0,2812.970568945243,0.0,0.0,0.0,923.731936418857,1889.2386325263858,1,5,2,54,0,True,0.014437699999999998,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260106,emergency,priority_edd,edd,2764.858850723293,0.0,2764.858850723293,0.0,0.0,0.0,892.9408718715617,1871.9179788517313,1,4,2,54,0,True,0.01971920000000016,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260106,emergency,priority_min_slack,min_slack,2589.853635070377,0.0,2589.853635070377,0.0,0.0,0.0,862.1498073242665,1727.7038277461106,1,5,2,54,0,True,0.01340489999999983,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260107,commercial,priority_nearest,nearest,3757.6416410644665,770.0,2987.6416410644665,50.0,540.0,180.0,769.7766136823807,2217.865027382086,1,3,2,56,0,True,0.016103999999999896,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260107,commercial,priority_edd,edd,3283.4206737698423,590.0,2693.4206737698423,50.0,360.0,180.0,708.1944845877902,1985.2261891820524,1,2,2,56,0,True,0.018637400000000026,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260107,commercial,priority_min_slack,min_slack,3938.8177911117855,1130.0,2808.8177911117855,50.0,900.0,180.0,800.567678229676,2008.2501128821093,1,5,2,56,0,True,0.015534600000000065,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260107,emergency,priority_nearest,nearest,2987.6416410644665,0.0,2987.6416410644665,0.0,0.0,0.0,769.7766136823807,2217.865027382086,1,3,2,56,0,True,0.016221700000000006,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260107,emergency,priority_edd,edd,2693.4206737698423,0.0,2693.4206737698423,0.0,0.0,0.0,708.1944845877902,1985.2261891820524,1,2,2,56,0,True,0.01864750000000015,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260107,emergency,priority_min_slack,min_slack,2808.8177911117855,0.0,2808.8177911117855,0.0,0.0,0.0,800.567678229676,2008.2501128821093,1,5,2,56,0,True,0.015484799999999854,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260108,commercial,priority_nearest,nearest,3957.0145605372895,860.0,3097.0145605372895,50.0,540.0,270.0,800.567678229676,2296.4468823076136,1,3,3,56,0,True,0.017301799999999812,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260108,commercial,priority_edd,edd,3472.695291617347,590.0,2882.695291617347,50.0,360.0,180.0,769.7766136823807,2112.918677934966,1,2,2,56,0,True,0.021499600000000063,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260108,commercial,priority_min_slack,min_slack,3505.7222972285176,590.0,2915.7222972285176,50.0,360.0,180.0,769.7766136823807,2145.945683546137,1,2,2,56,0,True,0.015943700000000005,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260108,emergency,priority_nearest,nearest,3097.0145605372895,0.0,3097.0145605372895,0.0,0.0,0.0,800.567678229676,2296.4468823076136,1,3,3,56,0,True,0.017245799999999978,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260108,emergency,priority_edd,edd,2882.695291617347,0.0,2882.695291617347,0.0,0.0,0.0,769.7766136823807,2112.918677934966,1,2,2,56,0,True,0.021501400000000004,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
