instance,profile,method,seed,n_iter,initial_objective,objective,improvement_pct,capital_cost,running_cost,hub_cost,uav_inv_cost,ugv_inv_cost,uav_trav_cost,ugv_trav_cost,num_active_hubs,num_uav_routes,num_ugv_routes,served,unserved,feasible,valid,selected_q,time_to_best_iter,runtime_sec,wall_sec,profile_policy,cost_coefficients
instance_20260102,commercial,baseline,2024,500,2821.141909,2759.028514,2.201711,590.0,2169.028514,50.0,360.0,180.0,738.985549,1430.042965,1,2,2,51,0,True,True,,367,110.400493,110.496916,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,commercial,baseline,99,500,2821.141909,2759.028514,2.201711,590.0,2169.028514,50.0,360.0,180.0,738.985549,1430.042965,1,2,2,51,0,True,True,,179,116.346697,116.425076,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,commercial,s_alns,42,500,2416.663365,2416.663365,0.0,500.0,1916.663365,50.0,360.0,90.0,705.189477,1211.473888,1,2,1,51,0,True,True,6.0,0,181.310772,181.477315,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,commercial,s_alns,7,500,2416.663365,2416.663365,0.0,500.0,1916.663365,50.0,360.0,90.0,705.189477,1211.473888,1,2,1,51,0,True,True,6.0,0,198.215393,198.386769,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,commercial,s_alns,123,500,2416.663365,2416.663365,0.0,500.0,1916.663365,50.0,360.0,90.0,705.189477,1211.473888,1,2,1,51,0,True,True,6.0,0,203.258089,203.426285,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,commercial,s_alns,2024,500,2416.663365,2416.663365,0.0,500.0,1916.663365,50.0,360.0,90.0,705.189477,1211.473888,1,2,1,51,0,True,True,6.0,0,193.874577,194.078673,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,commercial,s_alns,99,500,2416.663365,2411.281624,0.222693,500.0,1911.281624,50.0,360.0,90.0,705.189477,1206.092147,1,2,1,51,0,True,True,6.0,163,174.380173,174.637861,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,baseline,42,500,2231.141909,1982.367124,11.15011,0.0,1982.367124,0.0,0.0,0.0,819.010527,1163.356597,3,5,6,51,0,True,True,,390,100.808833,100.887618,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,baseline,7,500,2231.141909,2035.784958,8.755918,0.0,2035.784958,0.0,0.0,0.0,849.801592,1185.983366,3,4,5,51,0,True,True,,258,96.889153,96.964569,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,baseline,123,500,2231.141909,1969.945036,11.70687,0.0,1969.945036,0.0,0.0,0.0,814.716355,1155.22868,4,5,5,51,0,True,True,,327,85.731998,85.805667,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,baseline,2024,500,2231.141909,1942.244705,12.948401,0.0,1942.244705,0.0,0.0,0.0,812.284628,1129.960077,5,6,7,51,0,True,True,,497,98.413349,98.528888,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,baseline,99,500,2231.141909,2013.158188,9.770052,0.0,2013.158188,0.0,0.0,0.0,849.801592,1163.356597,3,5,5,51,0,True,True,,398,105.035164,105.119877,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,s_alns,42,500,1916.663365,1736.932074,9.377301,0.0,1736.932074,0.0,0.0,0.0,826.479667,910.452407,7,6,7,51,0,True,True,6.0,409,180.306924,180.473066,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,s_alns,7,500,1916.663365,1758.307196,8.262075,0.0,1758.307196,0.0,0.0,0.0,868.702153,889.605043,6,3,7,51,0,True,True,6.0,409,196.871999,197.030446,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,s_alns,123,500,1916.663365,1731.588494,9.656097,0.0,1731.588494,0.0,0.0,0.0,841.863466,889.725028,6,5,7,51,0,True,True,6.0,173,195.911038,196.071762,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,s_alns,2024,500,1916.663365,1759.030523,8.224336,0.0,1759.030523,0.0,0.0,0.0,821.774779,937.255744,7,7,8,51,0,True,True,6.0,424,165.456722,165.621526,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,emergency,s_alns,99,500,1916.663365,1831.993742,4.417553,0.0,1831.993742,0.0,0.0,0.0,824.468276,1007.525466,7,7,9,51,0,True,True,6.0,421,197.614263,197.774482,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,baseline,42,500,4594.884066,4545.621759,1.072112,1130.0,3415.621759,50.0,900.0,180.0,800.567678,2615.054081,1,5,2,55,0,True,True,,93,110.75652,110.84843,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,baseline,7,500,4594.884066,4564.095569,0.67006,1130.0,3434.095569,50.0,900.0,180.0,800.567678,2633.527891,1,5,2,55,0,True,True,,479,142.678088,142.798862,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,baseline,123,500,4594.884066,4564.095569,0.67006,1130.0,3434.095569,50.0,900.0,180.0,800.567678,2633.527891,1,5,2,55,0,True,True,,304,143.96408,144.05103,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,baseline,2024,500,4594.884066,4558.325801,0.79563,1130.0,3428.325801,50.0,900.0,180.0,800.567678,2627.758123,1,5,2,55,0,True,True,,427,141.693812,141.770291,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,baseline,99,500,4594.884066,4545.621759,1.072112,1130.0,3415.621759,50.0,900.0,180.0,800.567678,2615.054081,1,5,2,55,0,True,True,,369,120.949996,121.027535,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,s_alns,42,500,3810.125702,3783.060835,0.710341,770.0,3013.060835,50.0,540.0,180.0,675.761278,2337.299557,1,3,2,55,0,True,True,8.0,361,195.003229,195.163787,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,s_alns,7,500,3810.125702,3810.125702,0.0,770.0,3040.125702,50.0,540.0,180.0,702.79173,2337.333973,1,3,2,55,0,True,True,8.0,0,193.703933,193.910481,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,s_alns,123,500,3810.125702,3810.125702,0.0,770.0,3040.125702,50.0,540.0,180.0,702.79173,2337.333973,1,3,2,55,0,True,True,8.0,0,201.733133,201.898369,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,s_alns,2024,500,3810.125702,3810.125702,0.0,770.0,3040.125702,50.0,540.0,180.0,702.79173,2337.333973,1,3,2,55,0,True,True,8.0,0,213.256237,213.42028,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,commercial,s_alns,99,500,3810.125702,3809.768252,0.009382,770.0,3039.768252,50.0,540.0,180.0,702.79173,2336.976522,1,3,2,55,0,True,True,8.0,203,216.172689,216.268237,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,emergency,baseline,42,500,3464.884066,3231.769557,6.727917,0.0,3231.769557,0.0,0.0,0.0,820.338671,2411.430885,3,6,5,55,0,True,True,,494,55.466034,55.501232,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,emergency,baseline,7,500,3464.884066,3243.201987,6.397965,0.0,3243.201987,0.0,0.0,0.0,846.835564,2396.366422,3,6,4,55,0,True,True,,492,58.600603,58.637594,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,emergency,baseline,123,500,3464.884066,3315.622195,4.307846,0.0,3315.622195,0.0,0.0,0.0,824.632843,2490.989352,3,6,4,55,0,True,True,,407,116.552197,116.631766,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,emergency,baseline,2024,500,3464.884066,3317.906969,4.241905,0.0,3317.906969,0.0,0.0,0.0,796.273506,2521.633462,2,5,3,55,0,True,True,,370,138.657239,138.734289,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,emergency,baseline,99,500,3464.884066,3264.112925,5.794455,0.0,3264.112925,0.0,0.0,0.0,820.338671,2443.774253,3,6,4,55,0,True,True,,183,138.092944,138.210966,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
